OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT
27479,2016-03-01 22:08:37+00:00,Megaptera novaeangliae,Humpback Whale,2,34.379229,-119.754741,spotter_pro,5745,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.754741 34.379229)
27480,2016-03-01 21:16:04+00:00,Eschrichtius robustus,Gray Whale,1,34.390137,-119.70564,spotter_pro,5745,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.70564 34.390137)
27481,2016-03-01 19:13:18+00:00,Megaptera novaeangliae,Humpback Whale,1,34.356004,-119.67486,spotter_pro,5746,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.67486 34.356004)
27482,2016-03-01 18:32:13+00:00,Delphinus delphis,Common Short-Beaked Dolphin,150,34.379784,-119.657739,spotter_pro,5746,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137094,POINT (-119.657739 34.379784)
27483,2016-03-02 17:43:54+00:00,Eschrichtius robustus,Gray Whale,3,34.153359,-119.409225,spotter_pro,5748,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.409225 34.153359)
27484,2016-03-02 18:11:11+00:00,Megaptera novaeangliae,Humpback Whale,1,34.093962,-119.49265,spotter_pro,5748,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.49265 34.093962)
27485,2016-03-02 18:16:54+00:00,Balaenoptera musculus,Blue Whale,1,34.090132,-119.490122,spotter_pro,5748,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137090,POINT (-119.490122 34.090132)
27486,2016-03-02 22:06:10+00:00,Eschrichtius robustus,Gray Whale,5,34.223642,-119.349441,spotter_pro,5749,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.349441 34.223642)
27487,2016-03-02 22:49:17+00:00,Eschrichtius robustus,Gray Whale,1,34.199571,-119.410071,spotter_pro,5749,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.410071 34.199571)
27488,2016-03-02 22:30:51+00:00,Delphinus capensis,Common Long-Beaked Dolphin,50,34.210615,-119.414827,spotter_pro,5749,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.414827 34.210615)
