OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT,geom,in_ocean,PK_UID,featurecla,scalerank,min_zoom,geom:1,in_channel
27523,2016-03-04 00:48:56+00:00,Eschrichtius robustus,Gray Whale,2,34.280206,-119.435533,spotter_pro,5758,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.435533 34.280206),,1,1,Ocean,0,0,,1
27524,2016-03-04 01:11:15+00:00,Balaenoptera acutorostrata,Bottlenose Dolphin,10,34.244066,-119.281905,spotter_pro,5758,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.281905 34.244066),,1,1,Ocean,0,0,,1
27543,2016-03-04 20:33:03+00:00,Eschrichtius robustus,Gray Whale,4,34.377819,-119.709866,spotter_pro,5765,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.709866 34.377819),,1,1,Ocean,0,0,,1
27545,2016-03-04 21:13:54+00:00,Delphinus capensis,Common Long-Beaked Dolphin,75,34.328833,-119.68655,spotter_pro,5765,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.68655 34.328833),,1,1,Ocean,0,0,,1
27544,2016-03-04 21:52:23+00:00,Megaptera novaeangliae,Humpback Whale,1,34.313417,-119.651698,spotter_pro,5765,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.651698 34.313417),,1,1,Ocean,0,0,,1
27552,2016-03-04 23:15:51+00:00,Eschrichtius robustus,Gray Whale,1,34.404212,-119.684184,spotter_pro,5767,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.684184 34.404212),,1,1,Ocean,0,0,,1
27551,2016-03-04 23:31:12+00:00,Eschrichtius robustus,Gray Whale,2,34.383888,-119.700429,spotter_pro,5767,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.700429 34.383888),,1,1,Ocean,0,0,,1
27549,2016-03-04 23:44:56+00:00,Eschrichtius robustus,Gray Whale,6,34.368803,-119.713217,spotter_pro,5767,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.713217 34.368803),,1,1,Ocean,0,0,,1
27550,2016-03-05 00:49:47+00:00,Delphinus capensis,Common Long-Beaked Dolphin,75,34.351195,-119.714051,spotter_pro,5767,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.714051 34.351195),,1,1,Ocean,0,0,,1
27555,2016-03-05 17:31:00+00:00,Delphinus capensis,Common Long-Beaked Dolphin,10,34.367789,-119.653828,spotter_pro,5771,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.653828 34.367789),,1,1,Ocean,0,0,,1
